año,periodo,tasa
2015,1,4.4
2015,2,4.4
2015,3,4.3
2015,4,4.3
2015,5,4.4
2015,6,4.4
2015,7,4.5
2015,8,4.4
2015,9,4.2
2015,10,4.4
2015,11,4.1
2015,12,4.3
2016,1,4.2
2016,2,4.3
2016,3,4.1
2016,4,3.8
2016,5,4
2016,6,3.9
2016,7,3.8
2016,8,3.8
2016,9,3.8
2016,10,3.6
2016,11,3.6
2016,12,3.6
2017,1,3.5
2017,2,3.4
2017,3,3.5
2017,4,3.5
2017,5,3.5
2017,6,3.3
2017,7,3.3
2017,8,3.3
2017,9,3.3
2017,10,3.4
2017,11,3.5
2017,12,3.4
2018,1,3.3
2018,2,3.3
2018,3,3.3
2018,4,3.4
2018,5,3.2
2018,6,3.4
2018,7,3.3
2018,8,3.3
2018,9,3.3
2018,10,3.2
2018,11,3.3
2018,12,3.6
2019,1,3.5
2019,2,3.4
2019,3,3.6
2019,4,3.5
2019,5,3.6
2019,6,3.5
2019,7,3.5
2019,8,3.5
2019,9,3.5
2019,10,3.6
2019,11,3.5
2019,12,3.1
2020,1,3.7
2020,2,3.6
2020,3,3.3
2020,4,4.7
2020,5,4.3
2020,6,5.5
2020,7,5
2020,8,4.9
2020,9,4.8
2020,10,4.6
2020,11,4.5
2020,12,4.1
2021,1,4.5
2021,2,4.4
2021,3,4.4
2021,4,4.7
2021,5,4.1
2021,6,4
2021,7,4.1
2021,8,4
2021,9,3.9
2021,10,3.8
2021,11,3.9
2021,12,3.8
2022,1,3.6
2022,2,3.7
2022,3,3.4
2022,4,3.1
2022,5,3.4
2022,6,3.3
2022,7,3.2
2022,8,3.3
2022,9,3.1
2022,10,3.2
2022,11,3
